total_fdr,mean_fdr,modal_fdr,total_tpr,mean_tpr,modal_tpr
0.08738191632928477,0.0,0.0,0.21902834008097172,0.28,0.24
0.020542574878469493,0.0,0.0,0.2742480790340284,0.36,0.28
0.10988643954575815,0.0,0.0,0.1068136272545091,0.16,0.12
0.04343836035484857,0.0,0.0,0.2678372591006423,0.32,0.28
0.06552217453505006,0.0,0.0,0.11213733905579408,0.16,0.12
0.04771371769383698,0.0,0.0,0.11427435387673972,0.2,0.12
0.15471698113207547,0.5,0.0,0.03381132075471699,0.04,0.04
0.24077407740774076,0.0,0.0,0.06073807380738074,0.12,0.08
0.06340057636887608,0.0,0.0,0.1123919308357349,0.16,0.12
0.0795698924731183,0.0,0.0,0.18408602150537634,0.24,0.2
